NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE
_NDP_custom-call_0,0x20,1,1,1,NOT FOUND
_NDP_custom-call.108_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.109_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.110_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.111_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.112_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.113_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.114_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.115_0,0x400,2,1,2,NOT FOUND
_NDP_custom-call.116_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.117_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.118_0,0x400,2,1,2,NOT FOUND
_NDP_custom-call.119_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.120_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.121_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.122_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.123_0,0x400,2,1,2,NOT FOUND
_NDP_custom-call.124_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.125_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.126_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.127_0,0x100,3,1,4,NOT FOUND
_NDP_custom-call.128_0,0x18000,6,1,8,NOT FOUND
_NDP_custom-call.129_0,0x18000,9,1,12,NOT FOUND
_NDP_custom-call.130_0,0x18000,9,1,12,NOT FOUND
_NDP_custom-call.131_0,0x18000,6,1,8,NOT FOUND
_NDP_custom-call.132_0,0x18000,9,1,12,NOT FOUND
_NDP_custom-call.133_0,0x18000,6,1,8,NOT FOUND
_NDP_custom-call.134_0,0x18000,6,1,8,NOT FOUND
_NDP_custom-call.135_0,0x18000,9,1,12,NOT FOUND
_NDP_custom-call.136_0,0x3000,3,1,3,NOT FOUND
_NDP_custom-call.137_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.138_0,0x18000,9,1,12,NOT FOUND
_NDP_custom-call.139_0,0x18000,6,1,8,NOT FOUND
_NDP_custom-call.140_0,0x18000,9,1,12,NOT FOUND
_NDP_custom-call.141_0,0x18000,6,1,8,NOT FOUND
_NDP_custom-call.142_0,0x20,4,2,5,NOT FOUND
_NDP_custom-call.143_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.144_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.145_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.146_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.147_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.148_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.149_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.150_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.151_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.152_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.153_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.154_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.155_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.156_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.157_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.158_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.159_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.160_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.161_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.163_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.164_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.165_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.166_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.167_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.168_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.169_0,0x400,2,1,2,NOT FOUND
_NDP_custom-call.170_0,0x200,2,1,2,NOT FOUND
_NDP_custom-call.171_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.172_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.173_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.174_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.175_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.176_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.177_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.178_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.179_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.180_0,0x3000,2,1,2,NOT FOUND
_NDP_custom-call.181_0,0x18000,8,3,15,NOT FOUND
_NDP_custom-call.182_0,0x3000,8,0,12,NOT FOUND
_NDP_custom-call.183_0,0x3000,8,0,12,NOT FOUND
_NDP_custom-call.184_0,0x18000,8,3,15,NOT FOUND
_NDP_custom-call.185_0,0x3000,8,0,12,NOT FOUND
_NDP_custom-call.186_0,0x3000,8,0,12,NOT FOUND
_NDP_custom-call.187_0,0x18000,8,3,15,NOT FOUND
_NDP_custom-call.188_0,0x3000,8,0,12,NOT FOUND
_NDP_custom-call.189_0,0x18000,8,3,15,NOT FOUND
_NDP_custom-call.190_0,0x3000,8,0,12,NOT FOUND
_NDP_custom-call.191_0,0x18000,8,3,15,NOT FOUND
_NDP_custom-call.192_0,0x3000,8,0,12,NOT FOUND
_NDP_custom-call.194_0,0x2b0000,2,1,1,NOT FOUND
_NDP_custom-call.195_0,0x2e0000,3,1,2,NOT FOUND
_NDP_custom-call.197_0,0x2e0000,3,1,2,NOT FOUND
_NDP_custom-call.198_0,0x2b0000,3,1,2,NOT FOUND
_NDP_custom-call.199_0,0x2b0000,3,1,2,NOT FOUND
