NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,32,2,1,1,368,8
_NDP_custom-call.108_0,512,2,1,1,368,9
_NDP_custom-call.109_0,512,2,1,1,368,9
_NDP_custom-call.110_0,512,2,1,1,368,9
_NDP_custom-call.111_0,512,2,1,1,368,9
_NDP_custom-call.112_0,512,2,1,1,368,9
_NDP_custom-call.113_0,512,2,1,1,368,9
_NDP_custom-call.114_0,512,2,1,1,368,9
_NDP_custom-call.115_0,1024,2,1,1,391,9
_NDP_custom-call.116_0,512,2,1,1,368,9
_NDP_custom-call.117_0,512,2,1,1,368,9
_NDP_custom-call.118_0,1024,2,1,1,391,9
_NDP_custom-call.119_0,512,2,1,1,368,9
_NDP_custom-call.120_0,512,2,1,1,368,9
_NDP_custom-call.121_0,512,2,1,1,368,9
_NDP_custom-call.122_0,512,2,1,1,368,9
_NDP_custom-call.123_0,1024,2,1,1,391,9
_NDP_custom-call.124_0,512,2,1,1,368,9
_NDP_custom-call.125_0,512,2,1,1,368,9
_NDP_custom-call.126_0,512,2,1,1,368,9
_NDP_custom-call.127_0,256,2,1,2,345,11
_NDP_custom-call.128_0,98304,6,1,7,20006,26
_NDP_custom-call.129_0,98304,8,1,8,17173,31
_NDP_custom-call.130_0,98304,8,1,8,16276,31
_NDP_custom-call.131_0,98304,6,1,7,19420,26
_NDP_custom-call.132_0,98304,8,1,8,17187,31
_NDP_custom-call.133_0,98304,6,1,7,20289,26
_NDP_custom-call.134_0,98304,6,1,7,20147,26
_NDP_custom-call.135_0,98304,8,1,8,15549,31
_NDP_custom-call.136_0,12288,2,1,2,1758,11
_NDP_custom-call.137_0,512,2,1,1,368,9
_NDP_custom-call.138_0,98304,8,1,8,17046,31
_NDP_custom-call.139_0,98304,6,1,7,20338,26
_NDP_custom-call.140_0,98304,8,1,8,16310,31
_NDP_custom-call.141_0,98304,6,1,7,20317,26
_NDP_custom-call.142_0,32,4,2,4,413,18
_NDP_custom-call.143_0,512,2,1,1,368,9
_NDP_custom-call.144_0,512,2,1,1,368,9
_NDP_custom-call.145_0,512,2,1,1,368,9
_NDP_custom-call.146_0,512,2,1,1,381,9
_NDP_custom-call.147_0,12288,2,1,1,1830,9
_NDP_custom-call.148_0,12288,2,1,1,1830,9
_NDP_custom-call.149_0,12288,2,1,1,1830,9
_NDP_custom-call.150_0,512,2,1,1,368,9
